,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66
R33P01_11_N022_IBD-Chile_A_T_C2,-1.0551158757795596,-6.173228218515152,-3.5842331320825336,-3.584570077994447,-3.061059790308502,-1.6802796618260085,-2.8864994394974945,-1.5453450096816463,-6.492965776412524,-4.348612367214998,-0.8583043885607653,-3.318557747426111,-2.7757649276611605,-0.44532850287980236,-4.833692451354759,1.1647741409028425,2.0668239536816455,-5.326957760033153,1.1714672298397137,2.2848988478139356,2.946166398797523,-1.8972100693292067,-2.943823794071287,-1.9083703826868046,1.4545960173039825,-4.495269694454853,-1.1288737667025948,-10.904926532934969,-2.6508974929649334,-39.69847156287474,9.436096393864643,60.97688411342165,-32.77321469057976,52.83136395405307,-15.85220146741658,-37.8101880941495,-12.949984149003114,2.799384162694967,5.174767897456025,3.4223083843973563,-3.52320320160201,5.6115467534964285,-1.8332140315488592,-1.668979727510265,-0.9917452314197928,-2.6529444618019062,1.490582206375397,-0.9888288530945535,-2.2329086665940703,-2.4214466568562085,-1.5633420987520998,-2.823140827965179,-0.03472255760996469,1.051300654526273,1.8761771327511823,1.4039587851810589,-0.1655518580207191,3.7092968355320117,0.4281362662099948,-0.4442309639333397,0.6137053809887043,-1.767211774169611,1.128624612808079,-0.21361131531309577,1.0426128376746189,1.2367797702884666
R33P01_12_N023_IBD-Chile_A_T_C2,-2.809454122793323,34.90890997681995,8.413364973314483,56.97711044927423,156.5323908001562,-30.858220314069534,-4.147152829678074,-13.574669812837168,-31.141627815177873,-0.8571914622784115,-6.626096336265113,-6.465480713641236,3.87716709765032,0.25356687599403643,-9.55141317107514,3.1087474880614536,4.93381844958789,-2.3012056887553376,-1.7287443905366229,0.6325066851765161,1.4635102790133758,0.8356906839501627,-0.5275666382803175,-0.4907607499228563,-1.1577133225893348,0.10174074347297155,0.7746555380477852,-0.504638715494851,0.3451486186783714,0.8362792088023603,0.46748118949408046,0.4363004830444005,-0.25802509206942414,0.4703027307268806,0.24215979265623724,-0.5615061683326964,0.27768494221687035,-6.354777579560683,-0.43112520669827575,2.819691118080416,1.6721943735799734,-2.2723540197349767,-0.3261906659727275,-0.3827383077164582,-0.18060452893122012,1.5436853767816403,-2.076170625770934,1.3697704566025497,-0.4305663467574816,-0.033083597450310726,-0.336160437457007,0.4242160852339458,-1.0864079919067604,-0.08324194337868114,0.05521845455327292,-0.2679433510316007,-0.4602789025408324,-0.7270353212437459,0.16070411512683452,0.15158176410784152,0.0887841500443047,0.39129321258634275,0.01901173642459873,-0.30103975658341714,0.0029413290221367533,-0.22697079404836654
R33P01_13_N025_IBD-Chile_A_T_C2,-4.226373368393862,-5.44040726353568,-3.2365705010786443,-6.033172341600296,-4.059554703740313,-4.542964272348074,-1.3166188924885929,-1.2109143917387433,-3.811134790573005,-4.206687066840224,-1.4408582503254619,-3.438145365462742,-1.4334874441595424,-0.4140041715915567,-5.203839511673288,0.6324536737046931,2.4854308235258142,-1.4448375715170134,0.17450743398579785,0.9983904011672762,-0.4625724703809224,-1.6967561512190756,-2.1939759314748106,-0.8480868839078699,0.8062123045176462,0.16729229357968073,-2.6702785055537803,-2.834732976343718,-2.8569044444507443,-2.6620187088943834,0.13325760375475174,-2.6921115952890404,-1.3891459402544202,-2.6534038968308344,2.419456178110413,-4.06296995122202,-0.9992198910153519,-2.352562976484281,-1.9226000688323839,1.3566263205714018,2.3285995342257566,-0.9545653098479595,-5.642653398595987,-2.41966683816371,1.6693198342597713,0.8960577726799419,-2.6978439284395015,10.474624726662292,-2.6602356575606345,-4.716397614453722,2.57415418537114,7.334906705958425,-7.909167852368137,-4.847327280837313,-0.1453542531779191,-23.38550414105032,-4.790194818374382,-37.580490690826224,-34.13520907008081,-19.4955477741969,-21.44467300523251,-34.16636863189562,-6.671322249167274,-14.327373221230406,1.091783510335431,-2.004046888568265
R33P01_14_N027_IBD-Chile_A_T_C2,-3.1056287444910278,-3.2730817148852944,-2.4669153569315534,-2.815107143912111,-0.1074440664500213,-1.3088121850710939,1.1800419772012258,-1.2957170623668197,0.6238654702455066,-2.3968618380018962,1.9236605190978109,-4.713969768269977,-0.9149686811451567,-2.864496531931913,-1.5667529692041897,-0.500159825530798,-3.555271786714995,2.26438432009928,4.30998782861098,5.883145777715698,-4.450618397194708,-21.715850967137417,6.190215980495186,-20.940100426525998,91.25329362805124,49.693467833626286,30.893026890331154,14.960814167841022,17.562325440931176,11.236830887045269,-10.716558245110186,11.230302651656983,6.142773251378382,1.155166670196669,-2.6887150708422647,-3.2105680360973863,4.904460054352751,-0.8037482969747106,-2.2610276746064746,0.5068811936773434,-3.1514856813644996,-5.500229182315553,1.5678992800168592,-1.0046687505517389,3.699083111961166,2.2401746830142995,0.009831769451307051,-2.098546148785381,2.234000314003374,-1.2256158891797597,-0.4642307403296994,-0.5867308897885392,1.8718618590435077,-0.38266559665566413,-1.578111279319866,0.20884235536509577,-0.6377130244576129,1.1250121104982636,-0.17812241619014382,0.008214288249529553,-0.8459163608101807,-0.26010383003780446,0.4100478739966385,0.010074771244730564,0.10655272661871823,-0.3408010681081252
R33P01_15_N029_IBD-Chile_A_T_C2,-3.330108317461942,-3.0228822651247413,-2.7909115394029675,0.476122937722591,8.669814412820843,-4.05770307294998,-2.8905702938377993,-2.527018169795125,-4.118567931301791,-3.349482628157873,0.7518786928346665,-1.0450020218649727,-0.22640934350527342,-0.4095722633527313,-0.18098613860762966,-2.607678893107101,-2.080830694628836,-0.8866188899951924,-0.8825051189666137,1.984264794902229,1.2175825644952507,-7.748094339657783,-9.596549125085991,-2.026601063378395,0.15513360204236545,-3.239366989264721,-7.734070240768681,-8.00260128967502,-6.142275949471108,5.489523265709154,-2.2459078987026686,-3.3646530179976275,6.285904055292622,-17.99524194039405,-18.31026963903774,-16.785963887737083,-4.7546231208343475,90.1888989436682,-7.635215840583241,-9.220072132117023,-17.46916515529222,-0.31930688296131904,15.842700428476498,4.7504704115740894,6.668059268344575,2.565183377964851,0.5265014304166125,-3.5339038809252212,0.9709772524840421,-1.3177848079867502,1.024205056147999,-3.1325465562484816,2.5765439799153285,-0.14768460955067106,-3.7841333030839017,-0.9799299598293313,-1.0670157356228143,0.4052044038223923,-0.024912972361706934,-1.246453855552081,-1.113993384893598,-0.762526278012982,0.879618556637504,0.6705532479503439,-0.6301311082202564,0.4175332069745571
R33P01_16_N030_IBD-Chile_A_T_C2,-3.9347149828584245,3.2688946566823884,1.5721112913194653,-3.0617557487361062,1.4284215450500528,-1.0432510772640509,-0.2760389208265385,-1.326126877144628,2.7382729589874866,-1.2740393407402077,-0.13640333431958218,2.263063704920622,-1.3059219516423897,-2.4652942560277444,14.281192147654803,-6.396611056022779,-5.0121440789910015,-11.64046564148052,-6.320320180033011,11.2118933276464,-10.323603369010474,-32.480147076680666,72.37227544580144,6.661211476717797,22.693329747918234,-76.79944403711643,5.802546970616999,23.27638200044966,-8.276042024682585,5.722215017306813,1.495305529486949,6.960281864702304,3.4163711648144965,0.2918629599954779,0.5627826712549667,1.2119493238962171,7.935985091832353,1.1581052330438006,1.780169688626541,-6.8145393587340815,1.0251718883076857,-4.695927773752234,-0.6539594697121687,1.4660607187494077,-0.16579399203799347,0.021930797470163535,-0.6075621566919042,0.19563528640340735,1.5526289229179622,-2.0171253166060925,-0.5433003258073773,-2.5791538394777023,0.10651388505617135,-0.4197198833403959,-1.392713105832992,-0.24245707499289368,-0.5219841024163016,-0.46740419651997556,0.28991745484696013,-1.3492197781587854,0.4831745942855627,-0.319444226489182,0.5184686066603416,-0.2728685665172528,0.8680228943102549,0.7091981321690722
R33P01_17_N031_IBD-Chile_A_T_C2,-4.0804690315188825,-1.123768655592945,-2.1392593801453423,1.1524084545254838,-2.199722442553576,-4.897098763259946,-2.4766338623091535,0.5266622946669971,-4.1198236313514665,-3.642316769748673,-3.4208318165375617,-1.6482914253445569,0.8856208864838131,-2.929139864310551,-3.77653326662532,0.46989245015436976,1.7062288181116454,6.081269182465749,-1.8182553750279196,-0.9359652596555759,1.4780114716864372,-2.35859873902576,-2.1581726669089885,0.3567972592225394,10.519396628981147,-1.7499342317102606,-1.5448514757615313,-4.534641296099777,-4.521752415188349,-19.056026213368902,-3.839065240922157,-6.185721079436618,-5.0954444952815,27.074848171985956,82.10583543356762,32.61125819289561,-25.002117225491947,21.84702031360829,10.552479208026504,-0.738667665408622,1.1125034761879569,0.9507668457558789,15.119586208186087,-6.383041302108863,-2.3984520213293696,3.5921993994653074,1.072952520320888,-4.086701023970901,-3.823066964901573,-4.843470532627596,-2.390133612067414,-2.9711699032273153,-1.5473824078554488,4.144441011927893,-2.1065230937530224,1.1636753259291903,-0.994314465254634,-0.48243461877739585,0.6407828387566373,-2.0373249398609348,1.4698754193402304,1.6290987027248238,-0.7145486107383967,-0.30529142504910806,0.22488180944523978,0.1903311353591616
R33P01_18_N032_IBD-Chile_A_T_C2,-3.8603028150522762,46.23761894994359,179.9729881342412,-31.839640254794407,-9.221636698877468,8.832705033250368,-0.03750193036932781,0.40471980267700547,-7.615489116543278,0.4142493167834737,4.148963189152349,-5.017019346737715,-0.7207789243041705,0.7422437008236924,-5.150849308351536,1.171972883331791,1.967673245272005,-1.4750603038054926,0.5791536502463728,-1.541202828911356,1.4327634706438488,3.155656751192546,-4.2975153449623225,1.5209459670318095,1.588491115410222,-0.37382043270499354,0.6712018298603262,0.5442464045029608,-0.5374058395215379,-0.26546837898441816,0.23002146252080066,-0.18933946155317954,-0.43632625738487374,0.15000052312299073,-0.43533724417152386,-0.7684769650592319,0.11033366194986532,0.6398448447251223,-0.06176057676704987,-0.6394650858997726,0.7966702532336596,-0.1344860164400799,0.4423776310697489,0.5168286658418171,-0.13614139989625657,0.31747952892778025,0.26051674925557644,-0.16560401483526635,-0.5337702699864759,0.1445816781057385,0.043634088871845306,-0.6706259961991241,-0.7993652153182,-0.1747710319132058,-0.3570206265366007,0.05867183722624046,-0.22402554974054514,-0.5653354505925603,0.07497910258121604,-0.20152528857352417,0.04391339142397841,0.5339001462536344,0.030699788987201337,-0.37670685955915345,0.09085037894658196,-0.13063648210281956
R33P01_19_N036_IBD-Chile_A_T_C2,-1.7583985538941982,-3.9561724348415703,-0.5878380820716231,-4.324331209480042,0.9698908995795256,-5.655433837786459,-1.6330322758753841,-2.8878275012669543,-1.647645879908188,-3.2353927768885247,-0.4137929109216612,-3.353037662249779,-0.8939850473491254,0.4172689884787838,13.630180681200022,7.4224909879879455,-12.797621397305937,18.380273234235098,23.67174157766088,58.4380291501358,-85.5335149347862,62.428326570513406,11.707509239664713,5.761516192063165,-3.2836830263230796,5.3282687345686135,1.6888407638918947,2.22100889512035,4.18674888958129,4.116266072249188,-0.39868541470713337,3.204645198404147,2.6034887824512754,4.907359437429936,-0.06608890105738888,0.135542678258607,1.089767453424635,3.182989782676506,0.5937488733500966,0.44732486519646786,-1.4165756983527606,-3.547985431950036,3.338563432266733,1.2330495069758263,-0.6072978978236347,0.28425210300549414,0.19992274316103026,0.2805082170720366,0.5443021906909862,0.4636768829848806,0.0756280171462207,-0.8476371000034857,0.705600279488438,0.2196735059479097,-1.1368293103170557,1.2314639666818086,-0.7762085930408678,-1.0055342192855707,-0.04704691104516574,0.09468014688147612,0.4400679268542339,-0.2333910761376855,0.4593475436282874,0.22910691932225788,-0.6157651700487481,0.17393680318825674
R33P01_20_N037_IBD-Chile_A_T_C2,-3.8214627973540267,-5.337484223401047,-2.768712479376874,-3.606505058333732,-2.4598618063646494,-1.0054775445314426,-1.7962489856667696,-1.344671753108308,-3.529938304325678,-2.3083373730365353,-1.1721229909520763,-1.5369733124980587,0.010702846799755155,-1.1872630193632383,1.2986377690018154,-0.7747470244076256,-2.326161147037531,1.7420253059142152,3.169128228167781,1.030785220023282,-1.07999498612539,-2.997280069458912,-4.127892727550932,-2.898420417414608,-1.020132153177681,-1.4972770426656823,0.3005122180701399,-3.9903954686151435,-1.0549042057127047,2.0960701456621416,3.7186647079062976,-2.0445191972823995,-1.1269769154221807,-4.783605111523147,-0.1558811072770198,-1.906454091997391,1.546410183829999,0.17619827916531625,-3.9523980414790376,0.08141793067786142,3.0848022488795896,-1.953204337525576,-3.663625166089556,-6.653810102997163,-0.38154606220521686,1.5346612948783687,-1.6533824573187725,-0.3523398931753904,-2.3226181683197398,-0.7385637075742107,1.1206267981226303,2.730363897522408,-7.927101399428496,1.570244860196234,10.01425021607458,-5.373686146142409,1.964585754053703,5.183570591981039,-1.5471621804643623,1.482946935228831,15.08775691556061,15.864440489749072,-13.8176527674902,-17.983140057328868,54.220832939499935,-23.36463984621996
